combo_id,combination,count,distribution,language_used
0,c c++,1198,0.09792381886545692,2
1,javascript shell,1003,0.0819846329900278,2
2,javascript typescript,703,0.057462808566290664,2
3,python shell,682,0.05574628085662907,2
4,javascript python,595,0.0486349517737453,2
5,java javascript,484,0.03956187673696256,2
6,assembly c,422,0.03449403302272356,2
7,javascript shell typescript,401,0.03277750531306196,3
8,go shell,391,0.03196011116560406,2
9,javascript python shell,360,0.029426189308484552,3
10,javascript php,313,0.0255844368154324,2
11,c c++ python,297,0.024276606179499755,3
12,javascript ruby,286,0.02337747261729606,2
13,assembly c c++,282,0.0230505149583129,3
14,objective-c ruby,277,0.022641817884583946,2
15,java shell,254,0.020761811345430765,2
16,c c++ python shell,226,0.018473107732548635,4
17,c c#,212,0.01732875592610757,2
18,go javascript,210,0.01716527709661599,2
19,c c++ javascript,206,0.016838319437632827,3
20,c c++ java,196,0.01602092529017492,3
21,c c# c++,178,0.014549615824750695,3
22,ruby shell,168,0.01373222167729279,2
23,c python,155,0.012669609285597514,2
24,c objective-c,136,0.011116560405427496,2
25,javascript ruby shell,133,0.010871342161190126,3
26,php shell,133,0.010871342161190126,2
27,c c++ shell,133,0.010871342161190126,3
28,c# javascript,127,0.010380905672715383,2
29,c c++ objective-c,126,0.010299166257969592,3
30,javascript php shell,123,0.010053948013732222,3
31,java javascript objective-c,120,0.00980872976949485,3
32,c++ python,119,0.00972699035474906,2
33,java javascript shell,111,0.009073075036782736,3
34,c python shell,111,0.009073075036782736,3
35,c shell,106,0.008664377963053785,2
36,c javascript,101,0.008255680889324832,2
37,go python,98,0.00801046264508746,2
38,c java,94,0.0076835049861043,2
39,go javascript shell,91,0.007438286741866928,3
40,java python,89,0.0072748079123753475,2
41,c c++ javascript python,84,0.006866110838646395,4
42,assembly c c#,81,0.006620892594409024,3
43,c# shell,80,0.006539153179663234,2
44,java javascript objective-c ruby,79,0.006457413764917443,4
45,java javascript python,79,0.006457413764917443,3
46,c go,78,0.0063756743501716525,2
47,c c++ java javascript,78,0.0063756743501716525,4
48,assembly c c# c++,78,0.0063756743501716525,4
49,c objective-c ruby,74,0.006048716691188491,3
50,c c++ perl,73,0.0059669772764427,3
51,assembly c c++ javascript,72,0.0,4
52,c++ javascript,72,0.0,2
53,c++ python shell,70,0.0,3
54,go python shell,67,0.0,3
55,go javascript python,66,0.0,3
56,c c++ go,65,0.0,3
57,javascript perl,64,0.0,2
58,assembly c c++ java,63,0.0,4
59,objective-c ruby shell,62,0.0,3
60,javascript python shell typescript,58,0.0,4
61,c c++ javascript python shell,57,0.0,5
62,c java javascript,56,0.0,3
63,c c++ javascript objective-c,54,0.0,4
64,javascript php python,53,0.0,3
65,go javascript python shell,53,0.0,4
66,c perl,52,0.0,2
67,c c++ objective-c python,51,0.0,4
68,c c# c++ java,50,0.0,4
69,java python shell,49,0.0,3
70,java scala,48,0.0,2
71,c c++ perl python,46,0.0,4
72,c# javascript shell,45,0.0,3
73,c++ java,44,0.0,2
74,python ruby,44,0.0,2
75,java javascript python shell,44,0.0,4
76,assembly c c++ python,43,0.0,4
77,c++ javascript python,42,0.0,3
78,c objective-c ruby shell,41,0.0,4
79,c c++ perl python shell,40,0.0,5
80,c javascript python,39,0.0,3
81,c c++ java javascript objective-c,39,0.0,5
82,javascript python ruby,38,0.0,3
83,python ruby shell,38,0.0,3
84,javascript php python shell,36,0.0,4
85,assembly c c++ python shell,35,0.0,5
86,c# java,35,0.0,2
87,c c++ java objective-c,33,0.0,4
88,c c# c++ go,33,0.0,4
89,java ruby,33,0.0,2
90,java scala shell,33,0.0,3
91,c c# c++ java javascript,32,0.0,5
92,go java,32,0.0,2
93,assembly c c++ java javascript,32,0.0,5
94,c# c++,32,0.0,2
95,c c++ objective-c python shell,32,0.0,5
96,c java javascript objective-c,31,0.0,4
97,c c++ java python,31,0.0,4
98,assembly c c++ perl,31,0.0,4
99,c# java javascript,31,0.0,3
100,c c# c++ javascript,31,0.0,4
101,javascript objective-c,29,0.0,2
102,c++ shell,29,0.0,2
103,assembly c c++ javascript objective-c,28,0.0,5
104,c c# c++ go java,28,0.0,5
105,c ruby,28,0.0,2
106,c c++ javascript perl,28,0.0,4
107,javascript python ruby shell,27,0.0,4
108,go java javascript,27,0.0,3
109,c perl python,27,0.0,3
110,perl python,27,0.0,2
111,java javascript objective-c ruby shell,26,0.0,5
112,c c++ javascript objective-c python,26,0.0,5
113,javascript perl python,26,0.0,3
114,c javascript python shell,26,0.0,4
115,assembly c c# c++ go,26,0.0,5
116,c objective-c python,25,0.0,3
117,assembly c c++ objective-c,25,0.0,4
118,go ruby,25,0.0,2
119,java javascript scala,25,0.0,3
